actor,id,mesh,x_cm,y_cm,z_cm,qx,qy,qz,qw,sx,sy,sz
MoonRock_000039,39,2,59258.938686691,692.358541105,414.680207026,0.013926638,-0.019757071,0.046313278,0.998634461,0.163192883,0.163188358,0.163574744
MoonRock_000040,40,2,60208.389370285,306.225728605,433.753240359,0.008744789,-0.002463834,-0.390208681,0.920681619,0.437380656,0.437388605,0.437429527
MoonRock_000041,41,2,60541.262905441,-599.108744051,452.788484347,-0.032600249,-0.027446740,-0.512030014,0.857909765,0.430170696,0.430822997,0.433504309
MoonRock_000042,42,2,60555.484096847,406.604146574,442.434633028,0.000899150,-0.017449194,-0.038978457,0.999087282,0.311770012,0.311982482,0.312255085
MoonRock_000043,43,2,60685.061733566,-791.406107332,464.991081011,-0.010252825,-0.022189866,-0.661400558,0.749634439,0.190582393,0.190597122,0.191008517
MoonRock_000044,44,2,60811.953823410,-791.833353426,470.267045748,-0.009545223,-0.019891200,0.096785142,0.995060734,0.090640645,0.090686663,0.090862787
MoonRock_000045,45,2,60862.771694503,-587.597513582,473.134935152,-0.025293040,0.000188514,0.870734955,0.491101685,0.449286652,0.449275099,0.450298297
MoonRock_000046,46,2,60938.028042160,-328.478861238,468.975579989,0.049441564,-0.023928317,-0.922254554,0.382661084,0.060262821,0.060143398,0.060944004
MoonRock_000047,47,2,61209.488003097,-1601.647806551,482.046449434,0.011241980,-0.003614837,-0.917359593,0.397884315,0.465510699,0.465517938,0.465643432
MoonRock_000048,48,2,61227.908413253,-418.347025301,495.058810961,0.002986528,-0.020095443,0.374427243,0.927033707,0.209033000,0.209105606,0.209402273
MoonRock_000049,49,2,61566.738979660,-316.296244051,505.075776827,0.010308935,-0.021216662,-0.031579034,0.999222870,0.201482840,0.201456375,0.201990962
MoonRock_000050,50,2,61846.731655441,-312.292337801,511.818731081,0.011233759,0.000665585,-0.871507869,0.490252378,0.459681233,0.459744413,0.459984522
MoonRock_000051,51,2,61909.903042160,-271.142435457,515.226209414,0.013126887,-0.008574520,-0.126844786,0.991798650,0.133449675,0.133449645,0.133589985
MoonRock_000052,52,2,62031.497280441,-1075.109720613,512.951696169,0.031299126,-0.029629647,-0.912407395,0.407007610,0.465272413,0.464652867,0.468510476
MoonRock_000053,53,2,62043.850796066,-867.101908113,512.035644304,0.005147145,-0.034974991,-0.827441264,0.560438410,0.144515837,0.144441464,0.144808143
MoonRock_000054,54,2,62067.361538253,-362.353372957,514.362705004,0.001912720,-0.011245362,0.451425211,0.892236046,0.061897980,0.061897101,0.061927418
MoonRock_000055,55,2,62180.801479660,-1001.745462801,519.508826983,0.026422920,-0.013307454,-0.928519398,0.370103320,0.470180165,0.470091204,0.471969915
MoonRock_000056,56,2,62221.316616378,-389.977884676,517.530381930,-0.001336862,-0.018566227,0.687654886,0.725799053,0.244388913,0.244287156,0.244590770
MoonRock_000057,57,2,62296.878139816,-856.579447176,522.710740816,-0.028332099,-0.003751398,0.938704595,0.343535883,0.337520134,0.337534368,0.338753351
MoonRock_000058,58,2,62387.027065597,-425.109720613,522.435701143,0.005408090,-0.022273609,0.181014725,0.983213257,0.094067108,0.094119412,0.094305631
MoonRock_000059,59,2,62436.990444503,-973.229837801,529.243076098,-0.003334257,-0.024008720,-0.063285069,0.997701090,0.123201370,0.123240647,0.123539838
MoonRock_000060,60,2,62547.537319503,-552.087259676,527.705753100,0.009023746,-0.054579802,-0.703502318,0.708536595,0.055030609,0.054917924,0.055484370
MoonRock_000061,61,2,62846.951382003,-728.454447176,543.795526278,0.036256929,0.024233052,-0.957869593,0.283873277,0.395685050,0.396265102,0.399024572
MoonRock_000062,62,2,62890.176479660,-930.383158113,546.485364687,-0.008477287,-0.026742993,-0.043348402,0.998666042,0.325511524,0.325696292,0.326754016
MoonRock_000063,63,2,63121.646206222,-1003.283548738,557.833183062,-0.009105717,-0.024537176,0.487603512,0.872672807,0.433117582,0.432971517,0.434230436
MoonRock_000064,64,2,63176.736538253,-953.552103426,557.886588823,0.001112346,-0.033147656,-0.384400362,0.922570516,0.087991806,0.088027934,0.088420053
MoonRock_000065,65,2,63265.896694503,-1036.071634676,565.021741640,-0.010399699,-0.042116537,-0.814599575,0.578399150,0.411345933,0.410903108,0.413224128
MoonRock_000066,66,2,63299.783413253,-678.515482332,563.233697664,-0.028516494,-0.023566937,0.995561206,0.086540712,0.246601675,0.246532353,0.248314678
MoonRock_000067,67,2,63357.949917160,-845.739603426,567.880952608,0.027192364,-0.011648896,-0.931426011,0.362726433,0.311439179,0.311399461,0.312606570
MoonRock_000068,68,2,64464.175503097,-10201.196146395,357.180035364,-0.022940487,-0.006925282,-0.769773083,0.637867678,0.263759884,0.263719893,0.264182150
MoonRock_000069,69,2,64328.738491378,-10120.629740145,351.851880800,0.009231747,-0.015519434,-0.959314684,0.281760995,0.431995341,0.431972580,0.432340578
MoonRock_000070,70,2,64173.831264816,-9940.868997957,341.810572397,-0.022023854,-0.041964267,-0.676796659,0.734642929,0.322295002,0.322347774,0.324644255
MoonRock_000071,71,2,63763.125698410,-9871.313333895,325.850808870,0.001443379,-0.026354063,-0.706359790,0.707360747,0.373582594,0.373639730,0.374274366
MoonRock_000072,72,2,63975.564663253,-9817.431497957,334.463560831,-0.001544244,-0.027356688,-0.464195111,0.885309057,0.308873897,0.308804795,0.309677088
MoonRock_000073,73,2,63599.612514816,-9763.390970613,319.628656161,-0.009806639,-0.012429733,0.697377367,0.716529232,0.396918421,0.396933154,0.397353021
MoonRock_000074,74,2,64202.114956222,-9718.408060457,343.171584856,-0.031499290,-0.006482926,0.967465348,0.250951323,0.293723284,0.293785245,0.294981073
MoonRock_000075,75,2,64474.246303878,-9715.551615145,357.507145655,0.003580439,-0.034237004,0.008165051,0.999373974,0.073035292,0.073130252,0.073443043
MoonRock_000076,76,2,64343.216030441,-9662.267923738,349.806773913,-0.001017549,-0.034542597,0.488297494,0.871992736,0.082085902,0.082070191,0.082484493
MoonRock_000077,77,2,63623.159878097,-9646.447611238,320.175469172,-0.015675823,-0.021810330,0.154659017,0.987602737,0.223502420,0.223455406,0.224209074
MoonRock_000078,78,2,64148.489467941,-9631.017923738,340.214050066,0.037196576,-0.006307540,-0.870418319,0.490865133,0.472823887,0.472534010,0.475276080
MoonRock_000079,79,2,64008.865444503,-9601.025247957,332.659805071,-0.008879301,-0.027508451,0.283478436,0.958542863,0.433210261,0.433213766,0.434662882
MoonRock_000080,80,2,63561.001674972,-9494.555521395,310.445153963,-0.030290446,-0.020668770,0.156965154,0.986923113,0.279442541,0.279170455,0.280967299
MoonRock_000081,81,2,64168.264858566,-9469.909525301,342.252362024,-0.009759848,-0.036164959,0.611987101,0.789980145,0.135741758,0.135684865,0.136426800
MoonRock_000082,82,2,63691.970913253,-9415.612650301,315.040767443,-0.025539136,-0.035310749,0.332424178,0.942122640,0.093952964,0.093857705,0.094629825
MoonRock_000083,83,2,64180.044643722,-7714.843607332,365.953719866,-0.031248197,-0.081469985,0.271300276,0.958531352,0.291627746,0.291469444,0.301147424
MoonRock_000084,84,2,63815.200893722,-7635.986185457,298.569309961,-0.016974115,-0.094677436,-0.079531208,0.992180855,0.266821992,0.269266935,0.279171635
MoonRock_000085,85,2,64501.956264816,-7742.077494051,413.034022104,0.072331965,-0.077477316,-0.731419151,0.673640392,0.223765643,0.222945002,0.231311618
MoonRock_000086,86,2,64606.997768722,-11634.313822176,372.744453203,-0.001386287,-0.004365298,-0.015352581,0.999871652,0.421099467,0.421097310,0.421187821
MoonRock_000087,87,2,64844.448940597,-9608.410501863,380.311095965,0.001989702,-0.049828565,0.612948506,0.788547579,0.081106130,0.081053583,0.081789683
MoonRock_000088,88,2,65068.545620285,-9456.506204988,399.518645060,0.049449983,0.018339338,-0.967598869,0.246922655,0.465843146,0.467069120,0.472128598
MoonRock_000089,89,2,65310.623257003,-10994.384622957,397.805273783,-0.002329887,-0.031988927,0.514622618,0.856816690,0.136492817,0.136456095,0.136991279
MoonRock_000090,90,2,65670.694057785,-9338.928079988,450.691163790,0.034829843,-0.054989154,0.560996750,0.825254943,0.315340603,0.316062192,0.320668166
MoonRock_000091,91,2,67868.850796066,-9613.708353426,538.373315584,0.022361384,0.022848015,-0.301023674,0.953080628,0.216139207,0.216321278,0.217160603
MoonRock_000092,92,2,68132.486049972,-10396.703958895,526.962697756,0.008114314,-0.003736096,-0.738807339,0.673857489,0.255679208,0.255678875,0.255932363
MoonRock_000093,93,2,68685.049526535,-9676.806497957,539.305532229,0.012100568,-0.019776030,0.791182736,0.611140215,0.479653308,0.479630889,0.480073086
MoonRock_000094,94,2,68712.844936691,-9518.163919832,542.935502779,0.018045814,-0.011061992,-0.409298901,0.912154806,0.122414792,0.122344431,0.122637629
MoonRock_000095,95,2,69011.721889816,-9670.202494051,546.320140612,0.023699630,-0.007126721,-0.381048033,0.924223963,0.096369428,0.096339995,0.096598903
MoonRock_000096,96,2,69236.001674972,-9540.710306551,551.720226061,0.030088636,-0.000751422,-0.675218256,0.737003674,0.197387208,0.197465682,0.197971662
MoonRock_000097,97,2,69412.625210128,-11598.351908113,474.276674044,0.045457640,0.000504358,-0.746946373,0.663328323,0.394811245,0.395390001,0.397676266
MoonRock_000098,98,2,69498.648159347,-7664.050150301,653.931939852,-0.004350837,0.003285659,0.983271510,0.182064308,0.194133676,0.194132282,0.194120985
MoonRock_000099,99,2,69592.288296066,-9648.510599520,558.545482409,0.010678864,-0.019776783,-0.846319288,0.532201564,0.137497021,0.137457306,0.137637799
MoonRock_000100,100,2,69768.106167160,-9493.493509676,566.194999468,0.019934873,0.017948101,-0.998317025,0.051415789,0.093922308,0.093985824,0.094218697
MoonRock_000101,101,2,69946.109096847,-9271.789408113,577.442252886,0.022990554,-0.013729205,-0.191698686,0.981088455,0.455330940,0.455105467,0.456485778
MoonRock_000102,102,2,65031.692592941,-7481.603861238,489.980924380,0.040602955,-0.082172843,0.700546739,0.707695761,0.353912344,0.353574692,0.363499045
MoonRock_000103,103,2,65394.778530441,-7319.445658113,538.384235155,0.085250498,0.010884759,-0.982694698,0.164088405,0.252879480,0.254636862,0.261679334
MoonRock_000104,104,2,65654.934780441,-7062.389994051,575.216520083,0.031242696,0.033954895,-0.970084506,0.238342214,0.155373179,0.155612153,0.156822375
MoonRock_000105,105,2,65189.395229660,-6780.773783113,572.914302599,0.035715176,-0.038651036,0.715072660,0.697066435,0.138253411,0.138335402,0.139502338
MoonRock_000106,106,2,65081.277553878,-6537.866068270,582.672107470,0.033006158,-0.002506718,0.718727088,0.694503911,0.433430095,0.433816574,0.434869078
MoonRock_000107,107,2,66025.027553878,-6509.179544832,604.702508700,0.024013934,-0.014665771,-0.034661169,0.999002928,0.473835058,0.473628495,0.475313363
MoonRock_000108,108,2,65171.707241378,-6388.317728426,590.923202288,0.002112239,0.031357316,-0.932922427,0.358703222,0.251805457,0.251724709,0.252922546
MoonRock_000109,109,2,65694.412319503,-6275.073099520,603.683793795,0.021167850,-0.010707646,0.008964052,0.999678405,0.176425860,0.176323791,0.176778656
MoonRock_000110,110,2,66444.094936691,-6203.014994051,627.542293322,0.018824658,-0.028821101,-0.637245732,0.769891456,0.254000007,0.253805689,0.255149039
MoonRock_000111,111,2,65389.944546066,-5977.111673738,610.088908922,0.005035404,0.014867922,-0.986558219,0.162654452,0.470593182,0.470646484,0.470803127
MoonRock_000112,112,2,65078.335659347,-5898.522806551,609.283483278,0.024420862,0.001854653,-0.327082937,0.944678217,0.058879911,0.058878463,0.059042174
MoonRock_000113,113,2,64778.115932785,-5291.345072176,641.216266405,0.044523222,-0.030043674,0.685868873,0.725740277,0.178434172,0.178712068,0.180243807
MoonRock_000114,114,2,66825.491421066,-5136.584329988,669.762408983,0.001522714,0.025113580,-0.993161316,0.114006972,0.073964969,0.073922201,0.074213747
MoonRock_000115,115,2,66859.842007003,-4926.977396395,678.402459871,0.021585856,-0.011948017,0.676052329,0.736440455,0.123263409,0.123309480,0.123586771
MoonRock_000116,116,2,68184.378139816,-4735.571146395,712.876069796,-0.003459473,0.015551174,0.884778244,0.465739897,0.168936521,0.168896627,0.169267278
MoonRock_000117,117,2,69560.794155441,-2339.428568270,612.045943987,-0.017128043,-0.017010832,-0.916387599,0.399563550,0.416494318,0.416602350,0.417669821
MoonRock_000118,118,2,63562.722866378,-636.755228426,579.141795885,0.035491526,0.019666683,-0.974998224,0.218476629,0.455006167,0.455754264,0.458135606
MoonRock_000119,119,2,63962.576382003,-1054.406595613,597.215259325,-0.008237708,-0.029614723,-0.280089670,0.959481571,0.204910262,0.205092638,0.205799434
MoonRock_000120,120,2,64264.944546066,-1260.900736238,616.295039904,-0.035819642,-0.016710830,0.608626033,0.792472115,0.175553616,0.175502135,0.176458249
MoonRock_000121,121,2,64982.644741378,-453.368997957,603.064143908,-0.011450828,0.015625446,0.354113928,0.935001631,0.272780681,0.272841002,0.273204184
MoonRock_000122,122,2,65335.403530441,-209.960794832,588.978803408,0.006857633,0.017670186,0.326577642,0.944980307,0.438930309,0.438983320,0.439495735
MoonRock_000123,123,2,67001.175014816,780.810689543,528.157174837,-0.027258019,0.001168799,0.188254999,0.981741152,0.488146481,0.487826641,0.489633384
MoonRock_000124,124,2,67615.982143722,-1988.073587801,675.058925402,-0.006416816,0.001818134,-0.663591538,0.748065365,0.226210788,0.226210032,0.226236446
MoonRock_000125,125,2,67642.202846847,403.100728605,547.909724962,-0.010040971,0.015511735,0.938381966,0.345105564,0.223168956,0.223153656,0.223517024
MoonRock_000126,126,2,67667.654507003,-971.618509676,612.812602770,-0.000400677,0.048805767,0.878863653,0.474569823,0.069194182,0.069209294,0.069862624
MoonRock_000127,127,2,67693.154995285,299.145650480,551.494014513,0.002392180,-0.012449994,-0.904593752,0.426086163,0.498949471,0.498961286,0.498915532
MoonRock_000128,128,2,67723.123257003,-845.849466707,603.694379580,-0.037319796,-0.008271423,-0.317813500,0.947382391,0.407691132,0.407612576,0.410172940
MoonRock_000129,129,2,67787.857143722,-442.126322176,583.197295916,-0.032505698,-0.008350621,0.221101325,0.974673202,0.115388360,0.115237098,0.115889656
MoonRock_000130,130,2,67839.114467941,21.496724699,558.841359865,-0.015650137,0.011685015,0.877253817,0.479629310,0.316183454,0.316216572,0.316720564
MoonRock_000131,131,2,67864.834682785,-105.749369051,563.536060106,-0.045379097,-0.025229597,-0.838103556,0.543034653,0.423307247,0.423461857,0.426042805
MoonRock_000132,132,2,68901.968471847,288.452291105,573.398816836,-0.023742000,0.001718688,0.108421609,0.993819963,0.409269170,0.409109145,0.410119702
MoonRock_000133,133,2,69207.034389816,-2123.290872957,622.203243029,-0.001600210,0.002346679,-0.593759414,0.804637615,0.070599009,0.070599163,0.070620114
MoonRock_000134,134,2,69693.643276535,-2195.678568270,605.454814684,-0.018763329,-0.009652390,-0.983384519,0.180304346,0.245096068,0.245221339,0.245670252
MoonRock_000135,135,1,57990.347378097,-11287.255716707,380.713713419,-0.005133002,-0.005473187,0.330339490,0.943832357,0.132553457,0.132555408,0.132604974
MoonRock_000136,136,1,57423.794643722,-10948.046732332,392.823302996,-0.023725408,-0.009787403,-0.885863237,0.463236048,0.390806261,0.390962012,0.391828048
MoonRock_000137,137,1,57641.958706222,-10911.303568270,387.147534144,0.004365376,0.002238544,0.920862420,0.389856814,0.490408972,0.490411214,0.490291145
MoonRock_000138,138,1,57592.434780441,-10894.909525301,386.121118319,-0.010402189,0.014361076,-0.537220926,0.843255140,0.451788163,0.451827826,0.452540010
MoonRock_000139,139,1,57352.249233566,-10884.338236238,394.073879969,0.004611815,0.023781712,-0.180274022,0.983318076,0.086053806,0.086095155,0.086315615
MoonRock_000140,140,1,63557.156460128,-9585.204935457,314.086067927,-0.031136809,-0.005341226,-0.122068371,0.992018792,0.215002758,0.214846346,0.215817432
MoonRock_000141,141,1,63587.002651535,-9425.036478426,307.141006243,-0.028568930,-0.030660094,0.345268310,0.937567901,0.424133166,0.423516136,0.426997297
MoonRock_000142,142,1,63409.048549972,-9202.368021395,275.978243601,-0.063059805,-0.046389883,0.467375003,0.880586195,0.082485558,0.082001544,0.084244233
MoonRock_000143,143,1,57685.366909347,-5900.707865145,458.660781634,-0.012281134,0.030801848,-0.531250498,0.846565608,0.467085092,0.466769675,0.468865195
MoonRock_000144,144,1,59273.623745285,-5544.640970613,254.106223833,0.048251516,0.043196090,-0.100653496,0.992811544,0.252471531,0.252679337,0.257192191
MoonRock_000145,145,1,58498.770229660,-5479.711771395,356.833827746,-0.019958721,0.063703000,0.269758606,0.960611197,0.115397716,0.115855979,0.117838483
MoonRock_000146,146,1,58599.636928878,-5379.260111238,344.019544375,-0.035929771,-0.080783526,-0.989588051,0.113571840,0.078772124,0.078581250,0.081343298
MoonRock_000147,147,1,59203.921596847,-5341.039896395,274.753892672,0.091362045,0.047334921,0.219487937,0.970173916,0.264474204,0.261820094,0.275251343
MoonRock_000148,148,1,58829.800503097,-5299.548197176,318.575299036,0.053837019,0.082830768,0.813734853,0.572779389,0.294565923,0.293921600,0.301690271
MoonRock_000149,149,1,58995.938198410,-5282.946634676,300.124824297,-0.066481596,0.040649785,-0.995323672,0.057083978,0.160005510,0.160264704,0.164253507
MoonRock_000150,150,1,58674.551479660,-4988.720560457,353.524720919,0.041634193,0.044456429,0.074442553,0.995363515,0.081410591,0.081370025,0.082739692
MoonRock_000151,151,1,58649.002163253,-4931.127787020,357.779395830,0.038984379,-0.021357288,0.972676542,0.227869323,0.209373082,0.209736985,0.211321149
MoonRock_000152,152,1,58092.971889816,-4815.222025301,401.738870394,-0.073136612,0.056112874,-0.854638832,0.510974410,0.082730006,0.082080728,0.085129423
MoonRock_000153,153,1,57331.655971847,-4542.053079988,492.149055254,0.012859778,0.028219004,0.204528549,0.978369249,0.483187604,0.483207805,0.485015548
MoonRock_000154,154,1,63220.755092941,-4314.428568270,661.417567980,0.012384083,-0.058088286,0.703221599,0.708485546,0.290644034,0.290311739,0.293730536
MoonRock_000155,155,1,62653.982632003,-4028.820658113,623.637426150,-0.009709261,-0.016546426,0.261104238,0.965119953,0.067812382,0.067799612,0.067934755
MoonRock_000156,156,1,60336.001674972,-3977.306986238,517.215621721,-0.023894869,-0.057808757,-0.647813987,0.759226067,0.429569104,0.429601846,0.435401537
MoonRock_000157,157,1,60710.440151535,-3970.287943270,551.368892443,-0.045637599,0.026812180,0.983703976,0.171827831,0.081135280,0.081321187,0.082156650
MoonRock_000158,158,1,61671.365444503,-3930.834818270,583.380830538,0.024743697,-0.019994862,-0.978592476,0.203334013,0.337326942,0.337179272,0.338395721
MoonRock_000159,159,1,61517.031948410,-3924.743509676,577.211892855,0.017952145,-0.010208847,-0.893787883,0.448014196,0.322504499,0.322538075,0.322912353
MoonRock_000160,160,1,61443.020717941,-3882.861185457,576.055658114,0.022629772,0.001626411,-0.963710106,0.265985114,0.185599426,0.185681769,0.186023927
MoonRock_000161,161,1,62386.709682785,-3824.194193270,613.761031878,0.010922017,-0.019803656,0.094755204,0.995243677,0.189701979,0.189695614,0.190193320
MoonRock_000162,162,1,60135.293667160,-3282.055521395,479.335963976,-0.009155589,0.021382905,0.975403637,0.219195554,0.474336036,0.474224040,0.475414297
MoonRock_000163,163,1,61298.672573410,-1797.790384676,485.190093767,-0.000630615,0.028794383,0.982334701,0.184902732,0.277339018,0.277192394,0.278265620
MoonRock_000164,164,1,57826.077358566,-1210.681009676,483.201110613,-0.001214788,0.007375914,-0.224912214,0.974350356,0.370498522,0.370495326,0.370465316
MoonRock_000165,165,1,63550.308315597,-1177.599954988,581.108606112,-0.006259240,-0.031163508,-0.325509296,0.945004421,0.413719570,0.414004022,0.415634930
MoonRock_000166,166,1,57912.405483566,819.824361418,410.571420443,0.014639383,-0.002971510,-0.696877079,0.717035003,0.117621560,0.117617287,0.117715134
MoonRock_000167,167,1,57978.176967941,747.241353605,410.857641947,0.014185740,-0.012888981,-0.999434511,0.027627850,0.339424919,0.339415277,0.339750083
MoonRock_000168,168,1,59772.280971847,-6.567240145,425.059688341,-0.014376596,-0.014978401,0.003335992,0.999778892,0.051060783,0.051060383,0.051168772
MoonRock_000169,169,1,60519.424526535,-672.448587801,455.788362276,-0.023477422,-0.000468385,0.140186938,0.989846561,0.386509139,0.386102514,0.387315348
MoonRock_000170,170,1,60601.529018722,-675.280619051,459.365117800,-0.029453500,0.006776006,0.990719422,0.132520205,0.377067091,0.377460177,0.378956054
MoonRock_000171,171,1,60697.891323410,-564.916849520,462.522733462,-0.011765016,-0.053239958,-0.576534409,0.815251597,0.159686113,0.159623413,0.161386323
MoonRock_000172,172,1,60769.741909347,-779.723978426,469.903123629,-0.010338860,-0.032217414,-0.863513457,0.503189483,0.201507442,0.201407166,0.201870855
MoonRock_000173,173,1,60772.110073410,-589.892435457,466.429937136,-0.011832708,-0.028687861,0.646450842,0.762324276,0.177280053,0.177080355,0.177698606
MoonRock_000174,174,1,60916.568081222,-891.943216707,474.094093096,-0.020733506,0.000967573,0.848316328,0.529082784,0.072945826,0.072996049,0.073081896
MoonRock_000175,175,1,61086.404507003,-1101.586771395,479.339015734,-0.020465025,-0.006551631,-0.306773769,0.951539864,0.490370818,0.490509589,0.491353838
MoonRock_000176,176,1,61328.176967941,-340.344095613,497.997510683,0.033332165,0.000133014,-0.979110426,0.200578468,0.152684334,0.152841869,0.153324366
MoonRock_000177,177,1,61451.687710128,-735.510111238,488.532865297,0.018988310,-0.002565174,-0.946228484,0.322931140,0.470222641,0.470209869,0.471064571
MoonRock_000178,178,1,61467.923061691,-288.635111238,504.097163927,-0.019323240,-0.010541476,0.993059855,0.115531871,0.280492794,0.280679613,0.281211444
